"","Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species"
"ASV170","Eukaryota","Hacrobia","Centroheliozoa","Centroheliozoa_X","Pterocystida","Heterophryidae","Sphaerastrum","Sphaerastrum_fockii"
"ASV172","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Strobilidiidae_X","Strobilidiidae_X_sp."
"ASV175","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia",NA,NA,NA
"ASV176","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Strobilidiidae_X","Strobilidiidae_X_sp."
"ASV178","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Carteria","Carteria_sp."
"ASV180","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes","Spizellomycetales-and-Rhizophlyctidales","Spizellomycetales-and-Rhizophlyctidales_sp."
"ASV181","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-B2","Naegeliella","Naegeliella_flagellifera"
"ASV183","Eukaryota","Archaeplastida","Streptophyta","Zygnemophyceae","Zygnemophyceae_X","Zygnemophyceae_XX","Mougeotia","Mougeotia_sp."
"ASV184","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia",NA,NA,NA
"ASV185","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycotina_X","Chytridiomycotina_XX","Chytridiomycotina_XX_sp."
"ASV186","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Strobilidiidae_X","Strobilidiidae_X_sp."
"ASV187","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae_X","Trebouxiophyceae_XX","Botryococcus","Botryococcus_braunii"
"ASV188","Eukaryota","Alveolata","Ciliophora","Colpodea","Colpodea_X","Cyrtolophosidida","Cyrtolophosis",NA
"ASV189","Eukaryota","Alveolata","Ciliophora","Colpodea","Colpodea_X","Cyrtolophosidida","Cyrtolophosis","Cyrtolophosis_mucicola"
"ASV190","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae","Asulcocephalium","Asulcocephalium_miricentonis"
"ASV191","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_XX","Chrysophyceae_XXX","Chrysophyceae_XXX_sp."
"ASV192","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Carteria","Carteria_sp."
"ASV194","Eukaryota","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Brachionus","Brachionus_calyciflorus"
"ASV196","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Carteria","Carteria_sp."
"ASV197","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Suessiaceae","Asulcocephalium","Asulcocephalium_miricentonis"
"ASV198","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycotina_X","Chytridiomycotina_XX","Chytridiomycotina_XX_sp."
"ASV199","Eukaryota","Archaeplastida","Streptophyta","Zygnemophyceae","Zygnemophyceae_X","Zygnemophyceae_XX","Mougeotia","Mougeotia_sp."
"ASV200","Eukaryota","Archaeplastida","Streptophyta","Zygnemophyceae","Zygnemophyceae_X","Zygnemophyceae_XX","Mougeotia","Mougeotia_sp."
"ASV201","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Carteria","Carteria_sp."
"ASV202","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_XX","Chrysophyceae_XXX","Chrysophyceae_XXX_sp."
"ASV203","Eukaryota","Hacrobia","Katablepharidophyta","Katablepharidaceae","Katablepharidales","Katablepharidales_X","Katablepharidales_XX","Katablepharidales_XX_sp."
"ASV204","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia",NA,NA,NA
