Sample.date,sampling.week,sampling.week.end,treatment,Heated,Invasion,Mesocosm,rep,A_TotalAlgae,A_Green,A_Cyanobacteria,A_Chromophytes,A_Cryptophytes
20/04/21,48,49,C,N,N,17,4,22.46,21.28,0,1.19,0
20/04/21,48,49,C,N,N,21,5,20.32,16.96,0,3.36,0
20/04/21,48,49,C,N,N,24,6,2.83,2.74,0.1,0,0
27/04/21,49,50,C,N,N,2,1,11.07,8.83,1.99,0.25,0
27/04/21,49,50,C,N,N,7,2,4.13,2,0.15,1.98,0
27/04/21,49,50,C,N,N,13,3,4.06,4,0.02,0.03,0
27/04/21,49,50,C,N,N,17,4,2.79,2.75,0.04,0,0
27/04/21,49,50,C,N,N,21,5,16.78,14.36,0,2.42,0
27/04/21,49,50,C,N,N,24,6,3.01,2.94,0.08,0,0
4/05/21,50,51,C,N,N,2,1,12.52,9.34,2.76,0.43,0
4/05/21,50,51,C,N,N,7,2,2.59,1.43,0.75,0.41,0
4/05/21,50,51,C,N,N,13,3,3.53,3.37,0.1,0.07,0
4/05/21,50,51,C,N,N,17,4,2.86,2.67,0.18,0,0
4/05/21,50,51,C,N,N,21,5,10.7,8.58,0,2.12,0
4/05/21,50,51,C,N,N,24,6,3.58,3.4,0.14,0.04,0
11/05/21,51,52,C,N,N,2,1,11.85,6.93,4.79,0.13,0
11/05/21,51,52,C,N,N,7,2,1.64,0.84,0.62,0.18,0
11/05/21,51,52,C,N,N,13,3,4.62,3.86,0,0.76,0
11/05/21,51,52,C,N,N,17,4,4.53,4.49,0.04,0,0
11/05/21,51,52,C,N,N,21,5,1.25,0.63,0.19,0.43,0
11/05/21,51,52,C,N,N,24,6,3.2,2.95,0.13,0.12,0
18/05/21,52,53,C,N,N,2,1,12.45,7.57,4.37,0.51,0
18/05/21,52,53,C,N,N,7,2,2.03,0.98,0.82,0.22,0
18/05/21,52,53,C,N,N,13,3,7.92,7.55,0,0.38,0
18/05/21,52,53,C,N,N,17,4,13.94,13.94,0,0,0
18/05/21,52,53,C,N,N,21,5,1.16,0.31,0.26,0.5,0.086666667
18/05/21,52,53,C,N,N,24,6,2.24,1.71,0.39,0.14,0
25/05/21,53,54,C,N,N,2,1,8.15,3.67,2.95,1.53,0
25/05/21,53,54,C,N,N,7,2,0.93,0.08,0.65,0.2,0
25/05/21,53,54,C,N,N,13,3,4.77,4.3,0.2,0.27,0
25/05/21,53,54,C,N,N,17,4,16.1,16.1,0,0,0
25/05/21,53,54,C,N,N,21,5,0.47,0,0.27,0.2,0.006666667
25/05/21,53,54,C,N,N,24,6,3.56,2.73,0.56,0.27,0
1/06/21,54,55,C,N,N,2,1,7.93,3.78,2.8,1.35,0
1/06/21,54,55,C,N,N,7,2,0.84,0,0.66,0.18,0
1/06/21,54,55,C,N,N,13,3,5.26,4.13,0.3,0.74,0.086666667
1/06/21,54,55,C,N,N,17,4,21.35,21.35,0,0,0
1/06/21,54,55,C,N,N,21,5,0.49,0,0.37,0.12,0.003333333
1/06/21,54,55,C,N,N,24,6,6.21,5.19,0.74,0.29,0
8/06/21,55,56,C,N,N,2,1,21.85,13.44,0.4,8.01,0
8/06/21,55,56,C,N,N,7,2,1.5,0.16,1.14,0.2,0
8/06/21,55,56,C,N,N,13,3,4.99,4.27,0.33,0.39,0
8/06/21,55,56,C,N,N,17,4,35.46,35.46,0,0,0
8/06/21,55,56,C,N,N,21,5,0.63,0,0.3,0.32,0.003333333
8/06/21,55,56,C,N,N,24,6,6.76,6.24,0.34,0.17,0
15/06/21,56,57,C,N,N,2,1,35.5,21.62,2.22,11.65,0
15/06/21,56,57,C,N,N,7,2,7.02,1.98,4.72,0.32,0
